26.3,16.0,28.6,46.1,31.4,-26241183,-48641651

26.1,15.7,28.4,44.3,31.2,-26241193,-48641641

26.3,15.9,28.5,45.1,31.6,-26241204,-48641631

26.4,15.9,28.7,44.7,31.6,-26241214,-48641620

25.9,15.8,28.5,42.6,33.4,-26241234,-48641597

26.3,16.0,28.6,44.3,34.9,-26241246,-48641585

26.4,16.2,28.7,44.3,34.0,-26241258,-48641575

26.3,16.1,28.5,44.9,33.7,-26241270,-48641564

26.6,16.5,28.7,42.9,34.5,-26241281,-48641553

27.8,16.1,28.6,43.0,33.5,-26241294,-48641542

26.5,16.5,28.8,43.3,32.5,-26241307,-48641532

26.7,16.7,29.1,42.9,33.1,-26241319,-48641521

26.4,17.3,28.7,42.7,33.3,-26241332,-48641511

26.7,16.8,29.1,43.7,32.2,-26241344,-48641501

26.7,16.8,29.1,42.8,32.2,-26241357,-48641491

26.3,16.6,28.9,43.0,31.7,-26241382,-48641472

26.5,16.5,28.8,43.4,31.5,-26241394,-48641463

26.5,16.5,28.8,42.8,32.7,-26241406,-48641454

26.3,16.1,28.6,41.8,32.6,-26241418,-48641445

26.5,16.3,28.7,42.5,32.4,-26241429,-48641435

26.2,16.1,28.6,43.7,33.4,-26241441,-48641425

26.3,16.0,28.5,42.5,33.2,-26241453,-48641415

26.4,16.2,28.6,43.8,33.1,-26241466,-48641405

25.9,16.0,28.5,41.5,32.8,-26241479,-48641395

26.3,16.0,28.5,42.2,32.0,-26241491,-48641385

26.4,16.2,28.7,42.1,32.0,-26241503,-48641376

26.3,16.3,29.2,40.5,32.6,-26241529,-48641358

26.5,16.3,29.1,41.3,31.8,-26241541,-48641350

26.6,16.5,29.3,41.1,29.4,-26241553,-48641342

26.6,16.8,29.6,42.0,31.1,-26241565,-48641333

26.6,16.6,29.5,40.8,32.2,-26241576,-48641322

26.5,16.6,29.5,41.4,33.0,-26241586,-48641310

26.4,16.4,29.3,40.8,30.7,-26241595,-48641298

26.7,16.8,29.7,40.3,32.3,-26241606,-48641287

26.5,16.8,29.6,39.6,31.4,-26241617,-48641277

26.5,16.7,29.5,39.5,31.1,-26241628,-48641267

26.7,16.9,29.7,39.7,31.0,-26241643,-48641254

26.8,17.1,29.9,42.6,31.0,-26241655,-48641245

26.6,16.8,29.7,40.8,30.7,-26241679,-48641230

26.8,17.0,29.8,39.5,29.1,-26241692,-48641224

26.6,17.0,29.8,39.2,29.3,-26241704,-48641218

26.4,16.6,30.3,40.6,29.0,-26241717,-48641212

26.5,16.9,29.7,40.0,29.5,-26241729,-48641205

26.3,17.8,29.2,42.1,30.9,-26241742,-48641199

26.5,16.6,29.1,39.9,29.3,-26241755,-48641193

26.5,16.7,29.3,40.1,28.6,-26241768,-48641189

26.3,16.4,29.5,40.0,28.6,-26241781,-48641185

26.6,16.7,29.3,39.7,26.9,-26241792,-48641181

26.5,16.5,29.0,39.7,26.9,-26241805,-48641176

26.0,15.8,27.0,38.9,30.0,-26241832,-48641164

26.3,16.0,28.6,38.0,30.7,-26241845,-48641158

26.0,16.0,28.7,39.5,30.9,-26241859,-48641152

25.9,15.5,30.0,39.0,29.3,-26241872,-48641148

26.5,16.1,28.7,39.2,28.4,-26241884,-48641144

25.9,15.8,28.4,37.4,29.3,-26241897,-48641140

26.1,15.7,28.4,38.9,30.7,-26241910,-48641135

26.4,16.0,28.6,36.4,31.9,-26241924,-48641130

26.5,15.6,28.3,38.5,31.2,-26241938,-48641124

26.3,16.0,28.5,36.7,31.0,-26241951,-48641120

26.4,16.0,28.7,36.6,31.0,-26241965,-48641115

26.0,15.8,28.5,37.3,29.8,-26241991,-48641106

26.2,15.8,28.5,37.9,30.7,-26242004,-48641100

26.4,16.0,28.5,37.0,31.6,-26242018,-48641094

26.0,15.7,30.1,38.0,31.6,-26242032,-48641090

26.2,15.8,28.4,37.2,30.8,-26242046,-48641086

26.2,16.1,28.6,36.5,31.0,-26242059,-48641083

26.2,15.8,28.3,36.7,31.3,-26242073,-48641080

26.3,16.0,28.6,37.0,31.5,-26242087,-48641076

26.0,15.9,28.5,36.4,31.4,-26242101,-48641073

26.1,15.7,28.4,36.4,31.8,-26242115,-48641070

26.4,16.1,28.6,35.7,31.8,-26242129,-48641068

26.2,15.9,28.5,34.9,32.4,-26242158,-48641063

25.9,15.5,30.1,38.5,31.2,-26242173,-48641062

26.3,16.0,28.6,35.5,27.7,-26242186,-48641061

